area_id,area_name,date,map_views,search_views,directions,call_clicks,website_clicks,total_reviews,average_rating,review_count_change,location_count
area012,若狭町,2025-10-13,1724,1281,207,2,56,0,0,0,2
area012,若狭町,2025-10-14,1032,791,99,6,36,0,0,0,2
area012,若狭町,2025-10-15,905,773,97,0,31,0,0,0,2
area012,若狭町,2025-10-16,907,768,108,5,19,0,0,0,2
area012,若狭町,2025-10-17,1075,800,100,3,33,0,0,0,2
area012,若狭町,2025-10-18,1354,959,130,6,41,0,0,0,2
area012,若狭町,2025-10-19,1380,988,139,8,36,0,0,0,2
area012,若狭町,2025-10-20,1041,870,112,1,40,0,0,0,2
area012,若狭町,2025-10-21,877,823,99,1,31,0,0,0,2
area012,若狭町,2025-10-22,845,629,93,3,35,0,0,0,2
area012,若狭町,2025-10-23,886,618,125,9,37,0,0,0,2
area012,若狭町,2025-10-24,923,659,96,1,27,0,0,0,2
area012,若狭町,2025-10-25,1348,978,158,5,47,0,0,0,2
area012,若狭町,2025-10-26,1250,827,123,5,42,0,0,0,2
area012,若狭町,2025-10-27,942,647,89,4,29,0,0,0,2
area012,若狭町,2025-10-28,846,604,95,1,32,0,0,0,2
area012,若狭町,2025-10-29,929,693,88,6,32,0,0,0,2
area012,若狭町,2025-10-30,990,656,96,2,27,0,0,0,2
area012,若狭町,2025-10-31,1024,706,89,4,29,0,0,0,2
area012,若狭町,2025-11-01,1673,966,161,2,55,0,0,0,2
area012,若狭町,2025-11-02,2190,1100,259,7,43,0,0,0,2
area012,若狭町,2025-11-03,1402,813,128,2,51,0,0,0,2
area012,若狭町,2025-11-04,906,385,96,3,18,0,0,0,2
area012,若狭町,2025-11-05,937,384,89,3,27,0,0,0,2
area012,若狭町,2025-11-06,976,437,88,4,19,0,0,0,2
area012,若狭町,2025-11-07,1080,436,117,4,40,0,0,0,2
area012,若狭町,2025-11-08,1481,669,185,8,39,0,0,0,2
area012,若狭町,2025-11-09,1376,621,137,8,51,0,0,0,2
area012,若狭町,2025-11-10,968,432,102,8,36,0,0,0,2
area012,若狭町,2025-11-11,926,438,97,3,32,0,0,0,2
area012,若狭町,2025-11-12,965,400,82,6,28,0,0,0,2
area012,若狭町,2025-11-13,949,357,90,7,38,0,0,0,2
area012,若狭町,2025-11-14,1005,447,120,2,35,0,0,0,2
area012,若狭町,2025-11-15,1568,624,174,6,40,0,0,0,2
area012,若狭町,2025-11-16,1668,635,208,7,55,0,0,0,2
area012,若狭町,2025-11-17,1000,451,93,5,23,0,0,0,2
area012,若狭町,2025-11-18,978,551,80,2,32,0,0,0,2
area012,若狭町,2025-11-19,798,441,75,1,34,0,0,0,2
area012,若狭町,2025-11-20,1030,433,104,1,43,0,0,0,2
area012,若狭町,2025-11-21,1100,466,116,4,31,0,0,0,2
area012,若狭町,2025-11-22,2039,595,227,3,44,0,0,0,2
area012,若狭町,2025-11-23,2321,715,280,7,58,0,0,0,2
area012,若狭町,2025-11-24,1479,459,174,7,38,0,0,0,2
area012,若狭町,2025-11-25,740,285,70,3,21,0,0,0,2
area012,若狭町,2025-11-26,690,266,65,4,11,0,0,0,2
area012,若狭町,2025-11-27,716,273,83,9,20,0,0,0,2
area012,若狭町,2025-11-28,719,267,72,3,33,0,0,0,2
area012,若狭町,2025-11-29,1755,563,176,5,30,0,0,0,2
area012,若狭町,2025-11-30,1199,438,163,2,33,0,5,1,2
area012,若狭町,2025-12-01,635,228,64,8,9,0,0,0,2
area012,若狭町,2025-12-02,609,256,69,7,22,0,0,0,2
area012,若狭町,2025-12-03,476,221,30,1,16,0,0,0,2
area012,若狭町,2025-12-04,527,260,54,2,16,0,2,1,2
area012,若狭町,2025-12-05,596,374,59,3,18,0,3,2,2
area012,若狭町,2025-12-06,884,500,108,2,22,0,0,0,2
area012,若狭町,2025-12-07,915,467,104,6,30,0,0,0,2
area012,若狭町,2025-12-08,543,344,57,4,13,0,4,1,2
area012,若狭町,2025-12-09,497,250,47,1,10,0,4,1,2
area012,若狭町,2025-12-10,524,217,52,3,12,0,4,1,2
area012,若狭町,2025-12-11,459,189,53,4,16,0,0,0,2
area012,若狭町,2025-12-12,515,214,63,0,14,0,0,0,2
area012,若狭町,2025-12-13,871,304,90,4,16,0,3,1,2
area012,若狭町,2025-12-14,764,268,82,3,18,0,3.5,2,2
area012,若狭町,2025-12-15,519,173,42,0,3,0,4,3,2
area012,若狭町,2025-12-16,535,208,42,0,11,0,4,2,2
area012,若狭町,2025-12-17,460,232,34,2,25,0,0,0,2
area012,若狭町,2025-12-18,471,157,30,0,16,0,0,0,2
area012,若狭町,2025-12-19,567,214,60,2,22,0,0,0,2
area012,若狭町,2025-12-20,1421,557,101,1,20,0,0,0,2
area012,若狭町,2025-12-21,687,239,66,4,25,0,4,1,2
area012,若狭町,2025-12-22,483,148,41,4,13,0,0,0,2
area012,若狭町,2025-12-23,506,173,56,1,12,0,0,0,2
area012,若狭町,2025-12-24,424,153,35,0,9,0,4,1,2
area012,若狭町,2025-12-25,414,152,31,1,9,0,0,0,2
area012,若狭町,2025-12-26,465,120,30,3,15,0,0,0,2
area012,若狭町,2025-12-27,792,229,61,1,21,0,0,0,2
area012,若狭町,2025-12-28,1091,292,84,7,37,0,0,0,2
area012,若狭町,2025-12-29,996,344,93,7,37,0,0,0,2
area012,若狭町,2025-12-30,878,290,81,1,44,0,0,0,2
area012,若狭町,2025-12-31,579,211,22,1,45,0,0,0,2
area012,若狭町,2026-01-01,608,205,36,2,30,0,3,1,2
area012,若狭町,2026-01-02,760,246,41,1,26,0,0,0,2
area012,若狭町,2026-01-03,747,238,56,2,21,0,4,1,2
area012,若狭町,2026-01-04,645,188,54,1,17,0,0,0,2
area012,若狭町,2026-01-05,379,138,28,2,5,0,0,0,2
area012,若狭町,2026-01-06,430,159,39,3,11,0,5,1,2
area012,若狭町,2026-01-07,424,146,39,0,10,0,0,0,2
area012,若狭町,2026-01-08,366,171,26,1,11,0,0,0,2
area012,若狭町,2026-01-09,422,155,30,2,11,0,0,0,2
